"Date","discharge_cfs"
2015-10-22,3.24166666666667
2015-10-23,3.19833333333333
2015-10-24,3.20333333333333
2015-10-25,3.1690625
2015-10-26,2.80114583333333
2015-10-27,2.69333333333333
2015-10-28,2.709375
2015-10-29,3.03177083333333
2015-10-30,3.0440625
2015-10-31,3.0315625
2015-11-01,3.0525
2015-11-02,3.0471875
2015-11-03,3.03010416666667
2015-11-04,3.03958333333333
2015-11-05,2.74604166666667
2015-11-06,2.73416666666667
2015-11-07,2.61895833333333
2015-11-08,2.55666666666667
2015-11-09,2.52020833333333
2015-11-10,2.5025
2015-11-11,2.47
2015-11-12,2.4178125
2015-11-13,2.33375
2015-11-14,2.30125
2015-11-15,2.24927083333333
2015-11-16,1.98666666666667
2015-11-17,1.69208333333333
2015-11-18,1.3928125
2015-11-19,1.3225
2015-11-20,1.343125
2015-11-21,1.4003125
2015-11-22,1.3571875
2015-11-23,1.354375
2015-11-24,1.45020833333333
2015-11-25,1.3965625
2015-11-26,1.351875
2015-11-27,1.31322916666667
2015-11-28,1.3590625
2015-11-29,1.343125
2015-11-30,1.16291666666667
2015-12-01,0.8990625
2015-12-02,0.772604166666667
2015-12-03,0.701354166666667
2015-12-04,0.725
2015-12-05,0.694375
2015-12-06,0.755789473684211
2015-12-07,0.598947368421053
2015-12-08,0.578958333333333
2015-12-09,0.560729166666667
2015-12-10,0.6696875
2015-12-11,0.7775
2015-12-12,0.83125
2015-12-13,0.846145833333333
2015-12-14,0.7425
2015-12-15,0.730104166666667
2015-12-16,0.4978125
2015-12-17,0.461666666666667
2015-12-18,0.467916666666667
2015-12-19,0.445
2015-12-20,0.493020833333333
2015-12-21,0.526354166666667
2015-12-22,0.545625
2015-12-23,0.577395833333333
2015-12-24,0.563333333333333
2015-12-25,0.490520833333333
2015-12-26,0.445833333333333
2015-12-27,0.474375
2015-12-28,0.4921875
2015-12-29,0.454270833333333
2015-12-30,0.453333333333333
2015-12-31,0.458333333333333
2016-01-01,0.4475
2016-01-02,0.5621875
2016-01-03,0.5284375
2016-01-04,0.590833333333333
2016-01-05,0.775833333333333
2016-01-06,0.788958333333333
2016-01-07,0.672708333333333
2016-01-08,0.721875
2016-01-09,0.68
2016-01-10,0.710625
2016-01-11,0.835
2016-01-12,0.744375
2016-01-13,0.954270833333333
2016-01-14,1.05489583333333
2016-01-15,0.983958333333333
2016-01-16,1.11114583333333
2016-01-17,1.27208333333333
2016-01-18,1.07385416666667
2016-01-19,1.45958333333333
2016-01-20,1.315
2016-01-21,1.42385416666667
2016-01-22,1.5903125
2016-01-23,1.78708333333333
2016-01-24,1.8571875
2016-01-25,1.9503125
2016-01-26,2.13010416666667
2016-01-27,2.16895833333333
2016-01-28,2.41864583333333
2016-01-29,2.25666666666667
2016-01-30,2.78104166666667
2016-01-31,2.51125
2016-02-01,3.00947916666667
2016-02-02,3.0271875
2016-02-03,2.81208333333333
2016-02-04,3.3159375
2016-02-05,2.95979166666667
2016-02-06,3.500625
2016-02-07,3.06447916666667
2016-02-08,3.30875
2016-02-09,2.9675
2016-02-10,3.55604166666667
2016-02-11,3.13177083333333
2016-02-12,3.44979166666667
2016-02-13,2.914375
2016-02-14,3.24760416666667
2016-02-15,2.76270833333333
2016-02-16,2.36166666666667
2016-02-17,2.405
2016-02-18,2.44697916666667
2016-02-19,2.6403125
2016-02-20,2.93270833333333
2016-02-21,3.60614583333333
2016-02-22,3.13072916666667
2016-02-23,3.72916666666667
2016-02-24,3.4396875
2016-02-25,4.103125
2016-02-26,3.6228125
2016-02-27,4.14729166666667
2016-02-28,3.77708333333333
2016-02-29,4.3621875
2016-03-01,4.6434375
2016-03-02,4.01177083333333
2016-03-03,4.46916666666667
2016-03-04,4.05177083333333
2016-03-05,4.73833333333333
2016-03-06,3.01583333333333
2016-03-07,2.98729166666667
2016-03-08,2.89864583333333
2016-03-09,184.764791666667
2016-03-10,526.21875
2016-03-11,1012.15625
2016-03-12,914.614583333333
2016-03-13,652.739130434783
2016-03-14,680.34375
2016-03-15,1195.30208333333
2016-03-16,2284.47916666667
2016-03-17,2323.64583333333
2016-03-18,1765.67708333333
2016-03-19,873.083333333333
2016-03-20,893.510416666667
2016-03-21,721.59375
2016-03-22,729.197916666667
2016-03-23,726.010416666667
2016-03-24,661.15625
2016-03-25,868.572916666667
2016-03-26,946.572916666667
2016-03-27,945.947916666667
2016-03-28,950.010416666667
2016-03-29,936.260416666667
2016-03-30,929.1875
2016-03-31,757.208333333333
2016-04-01,511.0625
2016-04-02,507.239583333333
2016-04-03,505.166666666667
2016-04-04,439.791666666667
2016-04-05,297.947916666667
2016-04-06,233.59375
2016-04-07,234.052083333333
2016-04-08,233.791666666667
2016-04-09,200.0625
2016-04-10,155.916666666667
2016-04-11,154.458333333333
2016-04-12,157.96875
2016-04-13,154.65625
2016-04-14,157.041666666667
2016-04-15,154.875
2016-04-16,153.09375
2016-04-17,147.5
2016-04-18,161.75
2016-04-19,234.322916666667
2016-04-20,318.802083333333
2016-04-21,368.739583333333
2016-04-22,356.614583333333
2016-04-23,334.90625
2016-04-24,340.072916666667
2016-04-25,335.0625
2016-04-26,379.229166666667
2016-04-27,421.802083333333
2016-04-28,418.46875
2016-04-29,447.708333333333
2016-04-30,467.625
2016-05-01,475.270833333333
2016-05-02,485.59375
2016-05-03,485.385416666667
2016-05-04,501.875
2016-05-05,530.25
2016-05-06,548.739583333333
2016-05-07,505.90625
2016-05-08,465.270833333333
